-e Time,			IN(KBytes/s),	OUT(KByte/s)
-e 2014-12-17 08:28:15,	0,		1
-e 2014-12-17 08:28:16,	0,		1
-e 2014-12-17 08:28:17,	0,		1
-e 2014-12-17 08:28:18,	0,		0
-e 2014-12-17 08:28:19,	0,		0
-e 2014-12-17 08:28:20,	0,		0
-e 2014-12-17 08:28:21,	0,		0
-e 2014-12-17 08:28:22,	0,		0
-e 2014-12-17 08:28:23,	0,		0
-e 2014-12-17 08:28:24,	0,		0
-e 2014-12-17 08:28:25,	0,		0
-e 2014-12-17 08:28:26,	0,		0
-e 2014-12-17 08:28:27,	0,		0
-e 2014-12-17 08:28:28,	0,		0
-e 2014-12-17 08:28:29,	0,		0
-e 2014-12-17 08:28:30,	0,		0
-e 2014-12-17 08:28:31,	0,		0
-e 2014-12-17 08:28:32,	0,		0
-e 2014-12-17 08:28:33,	0,		0
-e 2014-12-17 08:28:34,	0,		0
-e 2014-12-17 08:28:35,	0,		1
-e 2014-12-17 08:28:36,	0,		0
-e 2014-12-17 08:28:37,	0,		0
-e 2014-12-17 08:28:38,	0,		2
-e 2014-12-17 08:28:39,	0,		0
-e 2014-12-17 08:28:40,	2,		3
-e 2014-12-17 08:28:41,	1,		1
-e 2014-12-17 08:28:42,	0,		0
-e 2014-12-17 08:28:43,	1,		1
-e 2014-12-17 08:28:44,	0,		0
-e 2014-12-17 08:28:45,	0,		0
-e 2014-12-17 08:28:46,	0,		0
-e 2014-12-17 08:28:47,	0,		0
-e 2014-12-17 08:28:48,	0,		0
-e 2014-12-17 08:28:49,	0,		0
-e 2014-12-17 08:28:50,	0,		0
-e 2014-12-17 08:28:51,	17,		340
-e 2014-12-17 08:28:52,	35738,		1706
-e 2014-12-17 08:28:53,	92508,		3530
-e 2014-12-17 08:28:54,	173343,		5801
-e 2014-12-17 08:28:55,	160824,		5549
-e 2014-12-17 08:28:56,	186803,		6428
-e 2014-12-17 08:28:57,	198239,		6053
-e 2014-12-17 08:28:58,	230915,		6456
-e 2014-12-17 08:28:59,	250514,		7306
-e 2014-12-17 08:29:00,	209698,		5809
-e 2014-12-17 08:29:01,	256302,		6944
-e 2014-12-17 08:29:02,	238953,		6476
-e 2014-12-17 08:29:03,	228342,		6085
-e 2014-12-17 08:29:04,	268840,		7357
-e 2014-12-17 08:29:05,	250968,		6675
-e 2014-12-17 08:29:06,	172222,		5140
-e 2014-12-17 08:29:07,	244118,		6739
-e 2014-12-17 08:29:08,	234991,		6265
-e 2014-12-17 08:29:09,	263714,		7388
-e 2014-12-17 08:29:11,	245582,		6899
-e 2014-12-17 08:29:12,	200616,		5916
-e 2014-12-17 08:29:13,	221861,		6409
-e 2014-12-17 08:29:14,	252087,		7347
-e 2014-12-17 08:29:15,	234236,		6573
-e 2014-12-17 08:29:16,	243802,		7033
-e 2014-12-17 08:29:17,	207490,		6469
-e 2014-12-17 08:29:18,	230423,		6659
-e 2014-12-17 08:29:19,	240709,		6867
-e 2014-12-17 08:29:20,	249527,		7026
-e 2014-12-17 08:29:21,	221922,		6332
-e 2014-12-17 08:29:22,	210004,		5904
-e 2014-12-17 08:29:23,	229661,		6588
-e 2014-12-17 08:29:24,	248202,		7145
-e 2014-12-17 08:29:25,	236133,		6685
-e 2014-12-17 08:29:26,	250971,		7342
-e 2014-12-17 08:29:27,	246619,		7134
-e 2014-12-17 08:29:28,	250242,		7231
-e 2014-12-17 08:29:29,	262821,		7597
-e 2014-12-17 08:29:30,	234352,		6814
-e 2014-12-17 08:29:31,	222114,		6350
-e 2014-12-17 08:29:32,	219640,		6676
-e 2014-12-17 08:29:33,	105395,		3506
-e 2014-12-17 08:29:34,	219138,		6642
-e 2014-12-17 08:29:35,	242875,		6928
-e 2014-12-17 08:29:36,	267388,		7820
-e 2014-12-17 08:29:37,	252681,		7499
-e 2014-12-17 08:29:38,	231977,		6591
-e 2014-12-17 08:29:39,	209530,		6270
-e 2014-12-17 08:29:40,	130717,		4266
-e 2014-12-17 08:29:41,	108533,		3558
-e 2014-12-17 08:29:42,	174130,		5422
-e 2014-12-17 08:29:43,	197580,		6099
-e 2014-12-17 08:29:44,	25634,		841
-e 2014-12-17 08:29:45,	0,		0
-e 2014-12-17 08:29:46,	0,		0
-e 2014-12-17 08:29:47,	0,		1
-e 2014-12-17 08:29:48,	0,		0
-e 2014-12-17 08:29:49,	0,		0
-e 2014-12-17 08:29:50,	1,		1
-e 2014-12-17 08:29:51,	37583,		1782
-e 2014-12-17 08:29:52,	264681,		7053
-e 2014-12-17 08:29:53,	193784,		5079
-e 2014-12-17 08:29:54,	220010,		6004
-e 2014-12-17 08:29:55,	278736,		7397
-e 2014-12-17 08:29:56,	261396,		6854
-e 2014-12-17 08:29:57,	281550,		7555
-e 2014-12-17 08:29:58,	252898,		6813
-e 2014-12-17 08:29:59,	277879,		7736
-e 2014-12-17 08:30:00,	237164,		6657
-e 2014-12-17 08:30:01,	225038,		6535
-e 2014-12-17 08:30:02,	261451,		7658
-e 2014-12-17 08:30:03,	264925,		7757
-e 2014-12-17 08:30:04,	288175,		8114
-e 2014-12-17 08:30:05,	274946,		7644
-e 2014-12-17 08:30:06,	233047,		6785
-e 2014-12-17 08:30:07,	274774,		6574
-e 2014-12-17 08:30:08,	251557,		5932
-e 2014-12-17 08:30:09,	276539,		6905
-e 2014-12-17 08:30:10,	262829,		6975
-e 2014-12-17 08:30:11,	189468,		4745
-e 2014-12-17 08:30:12,	205229,		5674
-e 2014-12-17 08:30:13,	256681,		7111
-e 2014-12-17 08:30:14,	239808,		6658
-e 2014-12-17 08:30:15,	253122,		6857
-e 2014-12-17 08:30:16,	262815,		7207
-e 2014-12-17 08:30:17,	243382,		6868
-e 2014-12-17 08:30:18,	254210,		7438
-e 2014-12-17 08:30:19,	229759,		6463
-e 2014-12-17 08:30:20,	216870,		5866
-e 2014-12-17 08:30:22,	260979,		7495
-e 2014-12-17 08:30:23,	275835,		7936
-e 2014-12-17 08:30:24,	256835,		7568
-e 2014-12-17 08:30:25,	282154,		8119
-e 2014-12-17 08:30:26,	257695,		7180
-e 2014-12-17 08:30:27,	233236,		6277
-e 2014-12-17 08:30:28,	279716,		8019
-e 2014-12-17 08:30:29,	282074,		7930
-e 2014-12-17 08:30:30,	261744,		7123
-e 2014-12-17 08:30:31,	276267,		7389
-e 2014-12-17 08:30:32,	245749,		6932
-e 2014-12-17 08:30:33,	285249,		7939
-e 2014-12-17 08:30:34,	209464,		5619
-e 2014-12-17 08:30:35,	248436,		6678
-e 2014-12-17 08:30:36,	36131,		996
-e 2014-12-17 08:30:37,	0,		0
-e 2014-12-17 08:30:38,	0,		0
-e 2014-12-17 08:30:39,	0,		0
-e 2014-12-17 08:30:40,	0,		0
-e 2014-12-17 08:30:41,	0,		0
-e 2014-12-17 08:30:42,	0,		0
-e 2014-12-17 08:30:43,	0,		0
-e 2014-12-17 08:30:44,	0,		0
-e 2014-12-17 08:30:45,	0,		1
-e 2014-12-17 08:30:46,	0,		1
-e 2014-12-17 08:30:47,	1,		1
-e 2014-12-17 08:30:48,	7021,		799
-e 2014-12-17 08:30:49,	142374,		3750
-e 2014-12-17 08:30:50,	245107,		6410
-e 2014-12-17 08:30:51,	183505,		4656
-e 2014-12-17 08:30:52,	215641,		5710
-e 2014-12-17 08:30:53,	284457,		7714
-e 2014-12-17 08:30:54,	258629,		6971
-e 2014-12-17 08:30:55,	274670,		7305
-e 2014-12-17 08:30:56,	242674,		6578
-e 2014-12-17 08:30:57,	224694,		6199
-e 2014-12-17 08:30:58,	252202,		7073
-e 2014-12-17 08:30:59,	255137,		7150
-e 2014-12-17 08:31:00,	244836,		6535
-e 2014-12-17 08:31:01,	257555,		7218
-e 2014-12-17 08:31:02,	259525,		7326
-e 2014-12-17 08:31:03,	225945,		6449
-e 2014-12-17 08:31:04,	252338,		7163
-e 2014-12-17 08:31:05,	256913,		7347
-e 2014-12-17 08:31:06,	262459,		7589
-e 2014-12-17 08:31:07,	256107,		7374
-e 2014-12-17 08:31:08,	231990,		6432
-e 2014-12-17 08:31:09,	259627,		7285
-e 2014-12-17 08:31:10,	232002,		6659
-e 2014-12-17 08:31:11,	237636,		6842
-e 2014-12-17 08:31:12,	201110,		5653
-e 2014-12-17 08:31:13,	258194,		7310
-e 2014-12-17 08:31:14,	232108,		6727
-e 2014-12-17 08:31:15,	252929,		7256
-e 2014-12-17 08:31:16,	255825,		7191
-e 2014-12-17 08:31:17,	231576,		6683
-e 2014-12-17 08:31:18,	148635,		3966
-e 2014-12-17 08:31:19,	239612,		6565
-e 2014-12-17 08:31:20,	242449,		6552
-e 2014-12-17 08:31:21,	227635,		6152
-e 2014-12-17 08:31:22,	238559,		6675
-e 2014-12-17 08:31:23,	246734,		6742
-e 2014-12-17 08:31:24,	228492,		6156
-e 2014-12-17 08:31:25,	236626,		6401
-e 2014-12-17 08:31:26,	219166,		5967
-e 2014-12-17 08:31:27,	230385,		6520
-e 2014-12-17 08:31:28,	242977,		6481
-e 2014-12-17 08:31:29,	233677,		6278
-e 2014-12-17 08:31:30,	219799,		5988
-e 2014-12-17 08:31:31,	238270,		6541
-e 2014-12-17 08:31:32,	242339,		6691
-e 2014-12-17 08:31:33,	140051,		3624
-e 2014-12-17 08:31:34,	237138,		6316
-e 2014-12-17 08:31:35,	115607,		3105
-e 2014-12-17 08:31:36,	34104,		1065
-e 2014-12-17 08:31:37,	4850,		154
-e 2014-12-17 08:31:38,	0,		0
-e 2014-12-17 08:31:39,	0,		0
-e 2014-12-17 08:31:41,	0,		0
-e 2014-12-17 08:31:42,	0,		0
-e 2014-12-17 08:31:43,	0,		0
-e 2014-12-17 08:31:44,	0,		0
-e 2014-12-17 08:31:45,	0,		0
-e 2014-12-17 08:31:46,	1,		2
-e 2014-12-17 08:31:47,	0,		1
-e 2014-12-17 08:31:48,	0,		0
-e 2014-12-17 08:31:49,	0,		0
-e 2014-12-17 08:31:50,	0,		2
-e 2014-12-17 08:31:51,	0,		0
-e 2014-12-17 08:31:52,	0,		0
-e 2014-12-17 08:31:53,	0,		0
-e 2014-12-17 08:31:54,	0,		0
-e 2014-12-17 08:31:55,	1,		1
-e 2014-12-17 08:31:56,	0,		0
-e 2014-12-17 08:31:57,	0,		0
-e 2014-12-17 08:31:58,	0,		0
-e 2014-12-17 08:31:59,	0,		0
-e 2014-12-17 08:32:00,	0,		0
-e 2014-12-17 08:32:01,	98,		401
-e 2014-12-17 08:32:02,	63762,		2673
-e 2014-12-17 08:32:03,	146553,		4505
-e 2014-12-17 08:32:04,	249209,		6913
-e 2014-12-17 08:32:05,	258504,		7285
-e 2014-12-17 08:32:06,	229158,		6504
-e 2014-12-17 08:32:07,	180358,		5183
-e 2014-12-17 08:32:08,	219914,		6650
-e 2014-12-17 08:32:09,	164717,		5460
-e 2014-12-17 08:32:10,	168748,		5555
-e 2014-12-17 08:32:11,	228092,		6975
-e 2014-12-17 08:32:12,	255290,		7708
-e 2014-12-17 08:32:13,	251077,		7403
-e 2014-12-17 08:32:14,	259101,		7304
-e 2014-12-17 08:32:15,	248750,		6883
-e 2014-12-17 08:32:16,	226681,		6517
-e 2014-12-17 08:32:17,	260382,		6902
-e 2014-12-17 08:32:18,	250546,		6628
-e 2014-12-17 08:32:19,	241481,		7263
-e 2014-12-17 08:32:20,	263403,		7303
-e 2014-12-17 08:32:21,	265987,		7192
-e 2014-12-17 08:32:22,	231223,		6910
-e 2014-12-17 08:32:23,	264833,		7830
-e 2014-12-17 08:32:24,	261441,		7679
-e 2014-12-17 08:32:25,	264775,		7560
-e 2014-12-17 08:32:26,	252638,		7236
-e 2014-12-17 08:32:27,	182017,		5610
-e 2014-12-17 08:32:28,	192640,		5595
-e 2014-12-17 08:32:29,	204193,		5954
-e 2014-12-17 08:32:30,	257409,		7392
-e 2014-12-17 08:32:31,	255809,		7330
-e 2014-12-17 08:32:32,	261209,		7692
-e 2014-12-17 08:32:33,	251598,		7340
-e 2014-12-17 08:32:34,	257961,		7581
-e 2014-12-17 08:32:35,	256559,		7312
-e 2014-12-17 08:32:36,	248369,		7347
-e 2014-12-17 08:32:37,	202620,		6351
-e 2014-12-17 08:32:38,	194304,		6324
-e 2014-12-17 08:32:39,	227121,		6667
-e 2014-12-17 08:32:40,	259013,		7278
-e 2014-12-17 08:32:41,	233423,		6895
-e 2014-12-17 08:32:42,	262811,		7536
-e 2014-12-17 08:32:43,	194713,		5933
-e 2014-12-17 08:32:44,	255453,		7337
-e 2014-12-17 08:32:45,	119411,		4021
-e 2014-12-17 08:32:46,	122551,		4109
-e 2014-12-17 08:32:47,	135865,		4533
-e 2014-12-17 08:32:48,	104957,		3585
-e 2014-12-17 08:32:49,	119575,		4043
-e 2014-12-17 08:32:50,	146480,		4847
-e 2014-12-17 08:32:51,	189857,		5956
-e 2014-12-17 08:32:52,	87021,		3142
-e 2014-12-17 08:32:53,	95918,		3122
-e 2014-12-17 08:32:54,	4018,		124
-e 2014-12-17 08:32:55,	0,		0
-e 2014-12-17 08:32:56,	0,		0
-e 2014-12-17 08:32:57,	0,		0
-e 2014-12-17 08:32:58,	0,		0
-e 2014-12-17 08:32:59,	0,		0
-e 2014-12-17 08:33:00,	0,		0
-e 2014-12-17 08:33:01,	1,		1
-e 2014-12-17 08:33:03,	100580,		3423
-e 2014-12-17 08:33:04,	108705,		2395
-e 2014-12-17 08:33:05,	212874,		5249
-e 2014-12-17 08:33:06,	242020,		6196
-e 2014-12-17 08:33:07,	225666,		5892
-e 2014-12-17 08:33:08,	249506,		6598
-e 2014-12-17 08:33:09,	268089,		7119
-e 2014-12-17 08:33:10,	254638,		6887
-e 2014-12-17 08:33:11,	185143,		4700
-e 2014-12-17 08:33:12,	266697,		7351
-e 2014-12-17 08:33:13,	271708,		7174
-e 2014-12-17 08:33:14,	235596,		6317
-e 2014-12-17 08:33:15,	258309,		7006
-e 2014-12-17 08:33:16,	266492,		6756
-e 2014-12-17 08:33:17,	224684,		6045
-e 2014-12-17 08:33:18,	250507,		6629
-e 2014-12-17 08:33:19,	234944,		6397
-e 2014-12-17 08:33:20,	230907,		6093
-e 2014-12-17 08:33:21,	240161,		5739
-e 2014-12-17 08:33:22,	239223,		5749
-e 2014-12-17 08:33:23,	244851,		6165
-e 2014-12-17 08:33:24,	238985,		6231
-e 2014-12-17 08:33:25,	245337,		6505
-e 2014-12-17 08:33:26,	262922,		6918
-e 2014-12-17 08:33:27,	271549,		7161
-e 2014-12-17 08:33:28,	240187,		6239
-e 2014-12-17 08:33:29,	266086,		7091
-e 2014-12-17 08:33:30,	268041,		6919
-e 2014-12-17 08:33:31,	237958,		5929
-e 2014-12-17 08:33:32,	224371,		5528
-e 2014-12-17 08:33:33,	260453,		6715
-e 2014-12-17 08:33:34,	223889,		5875
-e 2014-12-17 08:33:35,	271058,		7237
-e 2014-12-17 08:33:36,	237014,		5890
-e 2014-12-17 08:33:37,	273044,		7388
-e 2014-12-17 08:33:38,	282440,		7478
-e 2014-12-17 08:33:39,	257187,		6892
-e 2014-12-17 08:33:40,	277527,		7142
-e 2014-12-17 08:33:41,	282311,		7039
-e 2014-12-17 08:33:42,	274206,		6678
-e 2014-12-17 08:33:43,	297688,		7223
-e 2014-12-17 08:33:44,	282056,		7045
-e 2014-12-17 08:33:45,	233416,		5575
-e 2014-12-17 08:33:46,	285917,		6524
-e 2014-12-17 08:33:47,	156104,		4034
-e 2014-12-17 08:33:48,	0,		0
-e 2014-12-17 08:33:49,	0,		0
-e 2014-12-17 08:33:50,	0,		0
-e 2014-12-17 08:33:51,	0,		0
-e 2014-12-17 08:33:52,	0,		0
-e 2014-12-17 08:33:53,	0,		0
-e 2014-12-17 08:33:54,	0,		0
-e 2014-12-17 08:33:55,	0,		1
-e 2014-12-17 08:33:56,	2508,		318
-e 2014-12-17 08:33:57,	149926,		4456
-e 2014-12-17 08:33:58,	198606,		5030
-e 2014-12-17 08:33:59,	242453,		6303
-e 2014-12-17 08:34:00,	239626,		6353
-e 2014-12-17 08:34:01,	228486,		6110
-e 2014-12-17 08:34:02,	202051,		5268
-e 2014-12-17 08:34:03,	248738,		6617
-e 2014-12-17 08:34:04,	234911,		6351
-e 2014-12-17 08:34:05,	231182,		6051
-e 2014-12-17 08:34:06,	252578,		6463
-e 2014-12-17 08:34:07,	246387,		6402
-e 2014-12-17 08:34:08,	227563,		6105
-e 2014-12-17 08:34:09,	233832,		6299
-e 2014-12-17 08:34:10,	244083,		6537
-e 2014-12-17 08:34:11,	212600,		5860
-e 2014-12-17 08:34:12,	240588,		6877
-e 2014-12-17 08:34:13,	258607,		6652
-e 2014-12-17 08:34:14,	255969,		6538
-e 2014-12-17 08:34:15,	262345,		6893
-e 2014-12-17 08:34:16,	263109,		6631
-e 2014-12-17 08:34:18,	218606,		5868
-e 2014-12-17 08:34:19,	260078,		6996
-e 2014-12-17 08:34:20,	205221,		5345
-e 2014-12-17 08:34:21,	236789,		6273
-e 2014-12-17 08:34:22,	271393,		7272
-e 2014-12-17 08:34:23,	259623,		6742
-e 2014-12-17 08:34:24,	223897,		6037
-e 2014-12-17 08:34:25,	269095,		7062
-e 2014-12-17 08:34:26,	235126,		6068
-e 2014-12-17 08:34:27,	240602,		6188
-e 2014-12-17 08:34:28,	241591,		6124
-e 2014-12-17 08:34:29,	244362,		6129
-e 2014-12-17 08:34:30,	259461,		6506
-e 2014-12-17 08:34:31,	252361,		6251
-e 2014-12-17 08:34:32,	254696,		6185
-e 2014-12-17 08:34:33,	270259,		6630
-e 2014-12-17 08:34:34,	269944,		6821
-e 2014-12-17 08:34:35,	247863,		6194
-e 2014-12-17 08:34:36,	271011,		6528
-e 2014-12-17 08:34:37,	255855,		6207
-e 2014-12-17 08:34:38,	275458,		6704
-e 2014-12-17 08:34:39,	272866,		6519
-e 2014-12-17 08:34:40,	152952,		3545
-e 2014-12-17 08:34:41,	249113,		6148
-e 2014-12-17 08:34:42,	243291,		6304
-e 2014-12-17 08:34:43,	103211,		2864
-e 2014-12-17 08:34:44,	0,		0
-e 2014-12-17 08:34:45,	0,		0
-e 2014-12-17 08:34:46,	0,		0
-e 2014-12-17 08:34:47,	0,		0
-e 2014-12-17 08:34:48,	0,		0
-e 2014-12-17 08:34:49,	0,		0
-e 2014-12-17 08:34:50,	0,		0
-e 2014-12-17 08:34:51,	0,		0
-e 2014-12-17 08:34:52,	0,		0
-e 2014-12-17 08:34:53,	0,		1
-e 2014-12-17 08:34:54,	0,		0
-e 2014-12-17 08:34:55,	0,		0
-e 2014-12-17 08:34:56,	0,		0
-e 2014-12-17 08:34:57,	0,		0
-e 2014-12-17 08:34:58,	0,		0
-e 2014-12-17 08:34:59,	0,		0
-e 2014-12-17 08:35:00,	0,		0
-e 2014-12-17 08:35:01,	0,		0
